#   Rstart=2e-05m
#   RdotStart=0m/s
#   Rn=0.0001841m
#   deltaT=1e-11s
#   Tstart=0s
#   Tend=0.000115s
#   patm=101315Pa
#   pac=0Pa
#   f=26120Hz
#   mu=0.001002Pa s
#   sigma=0.0725Pa m (I think)
#   BTait=3.05e+07Pa
#   nTait=7.15no unit
#   kappa=1.4
#   pv=0Pa
#   rho0=998.206kg/m³
#   SpecGasConst=287J/molK
#   TempRef=293.15deg Celsius.
#   T0=0.01
#   Rn26.4e-05m#   t15e-05s#   t26e-05s# 
#t[s]	r[m]	v[m/s]	dT [s]	pBubble[Pa]	p_ac[Pa]	Rn
0	2e-05	0	1e-11	1.14271e+09	101315	0.0001841
1e-11	2e-05	0.392368	2.65075e-11	1.14271e+09	101315	0.0001841
3.65075e-11	2e-05	1.43188	2.65244e-11	1.14271e+09	101315	0.0001841
6.30319e-11	2.00001e-05	2.47123	2.65529e-11	1.14269e+09	101315	0.0001841
8.95848e-11	2.00002e-05	3.51086	2.65817e-11	1.14267e+09	101315	0.0001841
1.16166e-10	2.00003e-05	4.55078	2.66108e-11	1.14265e+09	101315	0.0001841
1.42777e-10	2.00004e-05	5.59098	2.66402e-11	1.14262e+09	101315	0.0001841
1.69417e-10	2.00006e-05	6.63146	2.66698e-11	1.14258e+09	101315	0.0001841
1.96087e-10	2.00008e-05	7.67222	2.66998e-11	1.14253e+09	101315	0.0001841
2.22787e-10	2.0001e-05	8.71325	2.673e-11	1.14248e+09	101315	0.0001841
2.49517e-10	2.00012e-05	9.75457	2.67605e-11	1.14242e+09	101315	0.0001841
2.76278e-10	2.00015e-05	10.7962	2.67913e-11	1.14235e+09	101315	0.0001841
3.03069e-10	2.00018e-05	11.838	2.68224e-11	1.14228e+09	101315	0.0001841
3.29891e-10	2.00021e-05	12.8802	2.68538e-11	1.1422e+09	101315	0.0001841
3.56745e-10	2.00025e-05	13.9226	2.68856e-11	1.14212e+09	101315	0.0001841
3.83631e-10	2.00029e-05	14.9652	2.69176e-11	1.14202e+09	101315	0.0001841
4.10548e-10	2.00033e-05	16.0082	2.69499e-11	1.14192e+09	101315	0.0001841
4.37498e-10	2.00037e-05	17.0514	2.69825e-11	1.14182e+09	101315	0.0001841
4.64481e-10	2.00042e-05	18.0949	2.70154e-11	1.1417e+09	101315	0.0001841
4.91496e-10	2.00047e-05	19.1386	2.70487e-11	1.14158e+09	101315	0.0001841
5.18545e-10	2.00052e-05	20.1827	2.70822e-11	1.14145e+09	101315	0.0001841
5.45627e-10	2.00058e-05	21.2269	2.71161e-11	1.14132e+09	101315	0.0001841
5.72743e-10	2.00064e-05	22.2715	2.71503e-11	1.14118e+09	101315	0.0001841
5.99894e-10	2.0007e-05	23.3163	2.71849e-11	1.14103e+09	101315	0.0001841
6.27078e-10	2.00077e-05	24.3613	2.72197e-11	1.14087e+09	101315	0.0001841
6.54298e-10	2.00083e-05	25.4067	2.72549e-11	1.14071e+09	101315	0.0001841
6.81553e-10	2.0009e-05	26.4523	2.72904e-11	1.14054e+09	101315	0.0001841
7.08844e-10	2.00098e-05	27.4981	2.73263e-11	1.14037e+09	101315	0.0001841
7.3617e-10	2.00106e-05	28.5442	2.73625e-11	1.14018e+09	101315	0.0001841
7.63532e-10	2.00113e-05	29.5906	2.7399e-11	1.13999e+09	101315	0.0001841
7.90931e-10	2.00122e-05	30.6372	2.74359e-11	1.1398e+09	101315	0.0001841
8.18367e-10	2.0013e-05	31.684	2.74732e-11	1.13959e+09	101315	0.0001841
8.4584e-10	2.00139e-05	32.7311	2.75107e-11	1.13938e+09	101315	0.0001841
8.73351e-10	2.00148e-05	33.7785	2.75487e-11	1.13916e+09	101315	0.0001841
9.009e-10	2.00158e-05	34.8261	2.7587e-11	1.13894e+09	101315	0.0001841
9.28487e-10	2.00167e-05	35.874	2.76257e-11	1.1387e+09	101315	0.0001841
9.56112e-10	2.00178e-05	36.9222	2.76647e-11	1.13846e+09	101315	0.0001841
9.83777e-10	2.00188e-05	37.9705	2.77041e-11	1.13821e+09	101315	0.0001841
1.01148e-09	2.00199e-05	39.0192	2.77439e-11	1.13796e+09	101315	0.0001841
